gene520	K00752
gene521	K00754
gene522	K00756
gene523	K00757
gene524	K00758
gene525	K00759
gene526	K00760
gene527	K00761
gene528	K00762
gene529	K00763
gene530	K00764
gene531	K00765
gene532	K00766
gene533	K00767
gene534	K00768
gene535	K00769
gene536	K00771
gene537	K00772
gene538	K00773
gene539	K00777
gene540	K00782
gene541	K00783
gene542	K00784
gene543	K00785
gene544	K00786
gene545	K00787
gene546	K00788
gene547	K00789
gene548	K00790
gene549	K00791
gene550	K00793
gene551	K00794
gene552	K00795
gene553	K00796
gene554	K00797
gene555	K00798
gene556	K00799
gene557	K00800
gene558	K00801
gene559	K00803
gene560	K00804
gene561	K00805
gene562	K00806
gene563	K00808
gene564	K00809
gene565	K00810
gene566	K00811
gene567	K00812
gene568	K00813
gene569	K00814
gene570	K00817
gene571	K00818
gene572	K00819
gene573	K00820
gene574	K00821
gene575	K00822
gene576	K00823
gene577	K00824
gene578	K00825
gene579	K00826
gene580	K00827
gene581	K00830
gene582	K00831
gene583	K00832
gene584	K00833
gene585	K00835
gene586	K00836
gene587	K00837
gene588	K00839
gene589	K00840
gene590	K00841
gene591	K00842
gene592	K00844
gene593	K00845
gene594	K00846
gene595	K00847
gene596	K00848
gene597	K00849
gene598	K00850
gene599	K00851
gene600	K00852
gene601	K00853
gene602	K00854
gene603	K00855
gene604	K00856
gene605	K00857
gene606	K00858
gene607	K00859
gene608	K00860
gene609	K00861
gene610	K00862
gene611	K00863
gene612	K00864
gene613	K00865
gene614	K00866
gene615	K00867
gene616	K00868
gene617	K00869
gene618	K00870
gene619	K00872
gene620	K00873
gene621	K00874
gene622	K00875
gene623	K00876
gene624	K00878
gene625	K00879
gene626	K00880
gene627	K00881
gene628	K00882
gene629	K00883
gene630	K00884
gene631	K00885
gene632	K00886
gene633	K00887
gene634	K00888
gene635	K00889
gene636	K00891
gene637	K00892
gene638	K00894
gene639	K00895
gene640	K00897
gene641	K00898
gene642	K00899
gene643	K00900
gene644	K00901
gene645	K00902
gene646	K00903
gene647	K00904
gene648	K00906
gene649	K00908
gene650	K00909
gene651	K00912
gene652	K00914
gene653	K00916
gene654	K00917
gene655	K00918
gene656	K00919
gene657	K00921
gene658	K00922
gene659	K00924
gene660	K00925
gene661	K00926
gene662	K00927
gene663	K00928
gene664	K00929
gene665	K00930
gene666	K00931
gene667	K00932
gene668	K00934
gene669	K00936
gene670	K00937
gene671	K00938
gene672	K00939
gene673	K00940
gene674	K00941
gene675	K00942
gene676	K00943
gene677	K00945
gene678	K00946
gene679	K00947
gene680	K00948
gene681	K00949
gene682	K00950
gene683	K00951
gene684	K00952
gene685	K00953
gene686	K00954
gene687	K00955
gene688	K00956
gene689	K00957
gene690	K00958
gene691	K00960
gene692	K00961
gene693	K00962
gene694	K00963
gene695	K00965
gene696	K00966
gene697	K00967
gene698	K00968
gene699	K00969
gene700	K00970
gene701	K00971
gene702	K00972
gene703	K00973
gene704	K00974
gene705	K00975
gene706	K00978
gene707	K00979
gene708	K00980
gene709	K00981
gene710	K00982
gene711	K00983
gene712	K00984
gene713	K00985
gene714	K00986
gene715	K00987
gene716	K00989
gene717	K00990
gene718	K00991
gene719	K00992
gene720	K00993
gene721	K00995
gene722	K00996
gene723	K00997
gene724	K00998
gene725	K01000
gene726	K01001
gene727	K01002
gene728	K01003
gene729	K01004
gene730	K01005
gene731	K01006
gene732	K01007
gene733	K01008
gene734	K01011
gene735	K01012
gene736	K01013
gene737	K01023
gene738	K01026
gene739	K01027
gene740	K01028
gene741	K01029
gene742	K01031
gene743	K01032
gene744	K01034
gene745	K01035
gene746	K01036
gene747	K01039
gene748	K01040
gene749	K01041
gene750	K01042
gene751	K01043
gene752	K01044
gene753	K01046
gene754	K01048
gene755	K01049
gene756	K01051
gene757	K01053
gene758	K01054
gene759	K01055
gene760	K01056
gene761	K01057
gene762	K01058
gene763	K01060
gene764	K01061
gene765	K01062
gene766	K01066
gene767	K01067
gene768	K01068
gene769	K01069
gene770	K01070
gene771	K01071
gene772	K01072
gene773	K01073
gene774	K01075
gene775	K01076
gene776	K01077
gene777	K01078
gene778	K01079
gene779	K01081
gene780	K01082
gene781	K01083
gene782	K01084
gene783	K01085
gene784	K01087
gene785	K01089
gene786	K01090
gene787	K01091
gene788	K01092
gene789	K01093
gene790	K01095
gene791	K01096
gene792	K01099
gene793	K01101
gene794	K01102
gene795	K01103
gene796	K01104
gene797	K01106
gene798	K01109
gene799	K01110
gene800	K01111
gene801	K01112
gene802	K01113
gene803	K01114
gene804	K01115
gene805	K01117
gene806	K01118
gene807	K01119
gene808	K01120
gene809	K01121
gene810	K01126
gene811	K01128
gene812	K01129
gene813	K01130
gene814	K01132
gene815	K01133
gene816	K01134
gene817	K01135
gene818	K01136
gene819	K01137
gene820	K01138
gene821	K01139
gene822	K01141
gene823	K01142
gene824	K01143
gene825	K01144
gene826	K01146
gene827	K01147
gene828	K01150
gene829	K01151
gene830	K01152
gene831	K01153
gene832	K01154
gene833	K01155
gene834	K01156
gene835	K01157
gene836	K01158
gene837	K01159
gene838	K01160
gene839	K01161
gene840	K01163
gene841	K01166
gene842	K01167
gene843	K01169
gene844	K01170
gene845	K01172
gene846	K01173
gene847	K01174
gene848	K01175
gene849	K01176
gene850	K01177
gene851	K01178
gene852	K01179
gene853	K01180
gene854	K01181
gene855	K01182
gene856	K01183
gene857	K01184
gene858	K01185
gene859	K01186
gene860	K01187
gene861	K01188
gene862	K01190
gene863	K01191
gene864	K01192
gene865	K01193
gene866	K01194
gene867	K01195
gene868	K01196
gene869	K01197
gene870	K01198
gene871	K01199
gene872	K01200
gene873	K01201
gene874	K01202
gene875	K01204
gene876	K01205
gene877	K01206
gene878	K01207
gene879	K01208
gene880	K01209
gene881	K01210
gene882	K01212
gene883	K01213
gene884	K01214
gene885	K01215
gene886	K01216
gene887	K01218
gene888	K01219
gene889	K01220
gene890	K01222
gene891	K01223
gene892	K01224
gene893	K01225
gene894	K01226
gene895	K01227
gene896	K01228
gene897	K01230
gene898	K01232
gene899	K01233
gene900	K01234
gene901	K01235
gene902	K01236
gene903	K01238
gene904	K01239
gene905	K01241
gene906	K01243
gene907	K01246
gene908	K01247
gene909	K01249
gene910	K01250
gene911	K01251
gene912	K01252
gene913	K01253
gene914	K01255
gene915	K01256
gene916	K01258
gene917	K01259
gene918	K01261
gene919	K01262
gene920	K01263
gene921	K01264
gene922	K01265
gene923	K01266
gene924	K01267
gene925	K01268
gene926	K01269
gene927	K01270
gene928	K01271
gene929	K01273
gene930	K01274
gene931	K01275
gene932	K01277
gene933	K01278
gene934	K01280
gene935	K01281
gene936	K01282
gene937	K01283
gene938	K01284
gene939	K01286
gene940	K01289
gene941	K01293
gene942	K01295
gene943	K01296
gene944	K01297
gene945	K01299
gene946	K01301
gene947	K01303
gene948	K01304
gene949	K01305
gene950	K01308
gene951	K01312
gene952	K01317
gene953	K01318
gene954	K01322
gene955	K01336
gene956	K01337
gene957	K01338
gene958	K01341
gene959	K01342
gene960	K01344
gene961	K01347
gene962	K01354
gene963	K01355
gene964	K01356
gene965	K01358
gene966	K01361
gene967	K01362
gene968	K01363
gene969	K01364
gene970	K01365
gene971	K01366
gene972	K01369
gene973	K01372
gene974	K01376
gene975	K01386
gene976	K01387
gene977	K01390
gene978	K01392
gene979	K01400
gene980	K01401
gene981	K01405
gene982	K01406
gene983	K01407
gene984	K01408
gene985	K01409
gene986	K01411
gene987	K01412
gene988	K01414
gene989	K01415
gene990	K01417
gene991	K01419
gene992	K01420
gene993	K01421
gene994	K01422
gene995	K01423
gene996	K01424
gene997	K01425
gene998	K01426
gene999	K01428
gene1000	K01429
gene1001	K01430
gene1002	K01431
gene1003	K01433
gene1004	K01434
gene1005	K01436
gene1006	K01438
gene1007	K01439
gene1008	K01440
gene1009	K01442
gene1010	K01443
gene1011	K01444
gene1012	K01446
gene1013	K01447
gene1014	K01448
gene1015	K01449
gene1016	K01450
gene1017	K01451
gene1018	K01452
gene1019	K01453
gene1020	K01454
gene1021	K01455
gene1022	K01456
gene1023	K01457
gene1024	K01458
gene1025	K01459
gene1026	K01460
gene1027	K01461
gene1028	K01462
gene1029	K01463
gene1030	K01464
gene1031	K01465
gene1032	K01466
gene1033	K01467
gene1034	K01468
gene1035	K01470
gene1036	K01471
gene1037	K01473
gene1038	K01474
gene1039	K01476
gene1040	K01477
gene1041	K01478
gene1042	K01479
gene1043	K01480
gene1044	K01482
gene1045	K01483
gene1046	K01484
gene1047	K01485
gene1048	K01486
gene1049	K01487
gene1050	K01488
gene1051	K01489
gene1052	K01490
gene1053	K01491
gene1054	K01492
gene1055	K01493
gene1056	K01494
gene1057	K01495
gene1058	K01496
gene1059	K01497
gene1060	K01499
gene1061	K01500
gene1062	K01501
gene1063	K01502
gene1064	K01503
gene1065	K01505
gene1066	K01506
gene1067	K01507
gene1068	K01509
gene1069	K01510
gene1070	K01512
gene1071	K01513
gene1072	K01514
gene1073	K01515
gene1074	K01516
gene1075	K01517
gene1076	K01518
gene1077	K01520
gene1078	K01521
gene1079	K01522
gene1080	K01523
gene1081	K01524
gene1082	K01525
gene1083	K01526
gene1084	K01528
gene1085	K01529
gene1086	K01530
gene1087	K01531
gene1088	K01533
gene1089	K01534
gene1090	K01535
gene1091	K01537
gene1092	K01539
gene1093	K01541
gene1094	K01545
gene1095	K01546
gene1096	K01547
gene1097	K01548
gene1098	K01551
gene1099	K01552
gene1100	K01553
gene1101	K01554
gene1102	K01555
gene1103	K01556
gene1104	K01557
gene1105	K01560
gene1106	K01561
gene1107	K01563
gene1108	K01564
gene1109	K01565
gene1110	K01567
gene1111	K01568
gene1112	K01569
gene1113	K01571
gene1114	K01572
gene1115	K01573
gene1116	K01574
gene1117	K01575
gene1118	K01576
gene1119	K01577
gene1120	K01579
gene1121	K01580
gene1122	K01581
gene1123	K01582
gene1124	K01583
gene1125	K01584
gene1126	K01585
gene1127	K01586
gene1128	K01588
gene1129	K01589
gene1130	K01590
gene1131	K01591
gene1132	K01592
gene1133	K01593
gene1134	K01594
gene1135	K01595
gene1136	K01596
gene1137	K01597
gene1138	K01598
gene1139	K01599
gene1140	K01601
gene1141	K01607
gene1142	K01608
gene1143	K01609
gene1144	K01610
gene1145	K01611
gene1146	K01612
gene1147	K01613
gene1148	K01615
gene1149	K01617
gene1150	K01618
gene1151	K01619
gene1152	K01620
gene1153	K01621
gene1154	K01622
gene1155	K01623
gene1156	K01624
gene1157	K01625
gene1158	K01626
gene1159	K01627
gene1160	K01628
gene1161	K01629
gene1162	K01630
gene1163	K01631
gene1164	K01632
gene1165	K01633
gene1166	K01635
gene1167	K01636
gene1168	K01637
gene1169	K01638
gene1170	K01639
gene1171	K01640
gene1172	K01641
gene1173	K01643
gene1174	K01644
gene1175	K01646
gene1176	K01647
gene1177	K01649
gene1178	K01652
gene1179	K01653
gene1180	K01654
gene1181	K01655
gene1182	K01657
gene1183	K01658
gene1184	K01659
gene1185	K01661
gene1186	K01662
gene1187	K01663
gene1188	K01664
gene1189	K01665
gene1190	K01666
gene1191	K01667
gene1192	K01668
gene1193	K01669
gene1194	K01671
gene1195	K01673
gene1196	K01674
gene1197	K01676
gene1198	K01677
gene1199	K01678
gene1200	K01679
gene1201	K01681
gene1202	K01682
gene1203	K01684
gene1204	K01685
gene1205	K01686
gene1206	K01687
gene1207	K01689
gene1208	K01690
gene1209	K01692
gene1210	K01693
gene1211	K01695
gene1212	K01696
gene1213	K01697
gene1214	K01698
gene1215	K01699
gene1216	K01703
gene1217	K01704
gene1218	K01705
gene1219	K01706
gene1220	K01708
gene1221	K01709
gene1222	K01710
gene1223	K01711
gene1224	K01712
gene1225	K01713
gene1226	K01714
gene1227	K01715
gene1228	K01716
gene1229	K01718
gene1230	K01719
gene1231	K01720
gene1232	K01721
gene1233	K01722
gene1234	K01724
gene1235	K01725
gene1236	K01726
gene1237	K01727
gene1238	K01728
gene1239	K01729
gene1240	K01730
gene1241	K01731
gene1242	K01732
gene1243	K01733
gene1244	K01734
gene1245	K01735
gene1246	K01736
gene1247	K01737
gene1248	K01738
gene1249	K01739
gene1250	K01740
gene1251	K01744
gene1252	K01745
gene1253	K01746
gene1254	K01749
gene1255	K01750
